fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
37,-0.0782691194648361,-0.1293083561125114,473,same,38,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.21908708,0.27998117,0.30301288,0.31176847,0.3160389,0.31777534,0.31820938
38,0.3707979031127396,0.2819968273559936,473,same,39,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.16896562,0.20539999,0.22007123,0.22455893,0.22666885,0.22740518,0.22754751
39,-0.1393353393666587,-0.1562081164371074,473,same,40,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.11726615,0.16243853,0.18271396,0.19245143,0.19716384,0.19919607,0.20014414
40,0.0726996704311689,-0.1962286515932647,473,same,41,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.28115815,0.34298214,0.36424136,0.370806,0.37345934,0.37424216,0.37460345
41,-0.1037036658855903,-0.1574392650359934,473,same,42,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.117253065,0.15049827,0.1659219,0.17346382,0.17600638,0.17653117,0.17666893
42,0.1656531605758382,0.1372538306368738,473,same,43,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.049589906,0.05415471,0.04922169,0.04146996,0.033557307,0.025448432,0.017921211
43,-0.0357857566242414,-0.1252256421187976,473,same,44,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.00031722934,-0.014874298,-0.031276166,-0.04610475,-0.059007652,-0.06996779,-0.07971349
44,0.1939143221370425,0.160868766746037,473,same,45,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.07529512,0.09452564,0.096880175,0.092818476,0.08745696,0.08221794,0.076434836
45,-0.0396920847143309,-0.0731188294119613,473,same,46,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.09188894,0.11865566,0.12953287,0.13403513,0.13587286,0.13628055,0.13612732
46,0.098524315007004,0.0952585869293946,473,same,47,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.12907544,0.18157466,0.20354027,0.21219502,0.21499309,0.21577194,0.21539316
47,-0.0295105226302128,-0.0958046656140736,473,same,48,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.010152642,-0.0012595396,-0.014524535,-0.027250297,-0.038317744,-0.04820882,-0.056632563
48,0.0110110071500295,-0.0322984908538181,473,same,49,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.22081351,0.28841206,0.3140402,0.3242512,0.32811472,0.3297867,0.330598
49,-0.0930017699354195,-0.2059213086665943,473,same,50,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.0008223543,-0.0152909625,-0.029649425,-0.0426175,-0.053114485,-0.061813816,-0.068673104
50,0.0763400955060119,0.070883784750542,473,same,51,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.13854122,-0.2433614,-0.32792804,-0.3982961,-0.45890686,-0.5118096,-0.5579949
51,-0.1031187376401716,-0.203087529152254,473,same,52,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.0042089825,-0.020185476,-0.03229474,-0.042290453,-0.05147923,-0.058386084,-0.06397889
52,0.0773539177835934,0.0772163345592378,473,same,53,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.16515179,0.22804745,0.25384492,0.2646116,0.26919115,0.27119723,0.27181825
53,0.060274286895102,-0.0236962468922312,473,same,54,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.10183507,0.12537572,0.13380356,0.13407797,0.13147058,0.12781695,0.12478675
54,-0.0771573405136976,-0.1064912874578529,473,same,55,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.17549978,0.234004,0.2597018,0.27094078,0.2761729,0.27876127,0.28020912
55,-0.0040625454057163,-0.0175797300135065,473,same,56,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.20005342,0.262486,0.28697315,0.29628113,0.30004725,0.3016394,0.3020618
56,0.2304765083890685,0.1485945966245592,473,same,57,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.1992664,0.23862113,0.24875747,0.24932274,0.24800447,0.24616024,0.24501441
57,-0.083379749754993,-0.1151252403110723,473,same,58,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.11402241,0.15204668,0.16921428,0.17603526,0.17886662,0.179669,0.17981048
58,-0.0863298173791753,-0.1009127396792648,473,same,59,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.13802676,0.19351506,0.21696414,0.22790489,0.23348355,0.23670545,0.23866643
59,0.1351853328227432,0.0873643216617371,473,same,60,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.031476542,-0.07464867,-0.112212464,-0.14481245,-0.17387664,-0.19952726,-0.22316831
60,0.019734955527205,-0.5555131113078084,473,same,61,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.30317643,0.36620736,0.38660523,0.39283487,0.39507928,0.3957351,0.39604
61,0.0878282839409237,-0.0934769557838552,473,same,62,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.29323238,0.3586984,0.37874484,0.3851441,0.38732642,0.38800848,0.38823834
62,0.6680707849275282,0.6589177975774678,473,same,63,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.045292966,-0.10758536,-0.16567878,-0.21809602,-0.26493093,-0.30602792,-0.3427801
63,-0.1365322199413232,-0.1837308538406967,473,same,64,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.20952325,0.27288097,0.29876605,0.30964842,0.31436613,0.31637427,0.31797802
64,0.054565579255262,0.0516875218647726,473,same,65,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.12390876,0.17825493,0.20217022,0.21174073,0.21521364,0.21578097,0.21513869
65,0.0865839428153394,0.0438877980907732,473,same,66,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.11562319,0.15117706,0.1653178,0.16991544,0.171479,0.17153399,0.17124228
66,-0.1963480646227053,-0.2824485067465687,473,same,67,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.044251677,0.05368223,0.06102825,0.06437061,0.06686885,0.06753963,0.06851716
67,-0.0014922808261921,-0.0536802460958156,473,same,68,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.07749133,0.09678041,0.10245673,0.10247366,0.10040056,0.097022735,0.094250895
68,-0.0466355681501609,-0.1463399061484966,473,same,69,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.052896176,-0.101937674,-0.13969755,-0.16964424,-0.19312175,-0.21238935,-0.2290466
69,0.0070721699967363,-0.4120933719147994,473,same,70,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.2909117,0.35925144,0.38060376,0.38791573,0.39073256,0.3916762,0.39229414
70,0.1188469842268313,-0.1058594927452538,473,same,71,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.27747324,0.34887087,0.37171653,0.37953183,0.38233516,0.38342184,0.3840449
71,0.1392694717622313,0.0905628982140805,473,same,72,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.19016954,0.25110218,0.27314964,0.2816531,0.28488287,0.28659844,0.28732157
72,-0.0822371252517732,-0.1739389743607438,473,same,73,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.03301231,-0.067923345,-0.095163465,-0.11816476,-0.13770525,-0.15422839,-0.168563
73,-0.0486538257477371,-0.1348373827371125,473,same,74,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.028135322,-0.062259875,-0.08957406,-0.112195715,-0.13186654,-0.14929476,-0.16435674
