filename,sub,accuracy,RT,feature1,feature2,feature3,feature4,feature5,feature6,feature7,targets
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.643,0.169,0.411,0.126,0.849,0.264,0.299,0.417,0.643
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.337,0.411,0.126,0.849,0.264,0.299,0.417,0.643,0.337
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.485,0.126,0.849,0.264,0.299,0.417,0.643,0.337,0.485
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.359,0.849,0.264,0.299,0.417,0.643,0.337,0.485,0.359
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.37,0.264,0.299,0.417,0.643,0.337,0.485,0.359,0.37
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.344,0.299,0.417,0.643,0.337,0.485,0.359,0.37,0.344
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.685,0.417,0.643,0.337,0.485,0.359,0.37,0.344,0.685
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.447,0.643,0.337,0.485,0.359,0.37,0.344,0.685,0.447
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.26,0.337,0.485,0.359,0.37,0.344,0.685,0.447,0.26
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.47,0.485,0.359,0.37,0.344,0.685,0.447,0.26,0.47
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.735,0.359,0.37,0.344,0.685,0.447,0.26,0.47,0.735
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.541,0.37,0.344,0.685,0.447,0.26,0.47,0.735,0.541
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.771,0.344,0.685,0.447,0.26,0.47,0.735,0.541,0.771
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.975,0.685,0.447,0.26,0.47,0.735,0.541,0.771,0.975
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.576,0.447,0.26,0.47,0.735,0.541,0.771,0.975,0.576
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,1.009,0.26,0.47,0.735,0.541,0.771,0.975,0.576,1.009
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.338,0.47,0.735,0.541,0.771,0.975,0.576,1.009,0.338
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.394,0.735,0.541,0.771,0.975,0.576,1.009,0.338,0.394
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.447,0.541,0.771,0.975,0.576,1.009,0.338,0.394,0.447
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.338,0.771,0.975,0.576,1.009,0.338,0.394,0.447,0.338
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.414,0.975,0.576,1.009,0.338,0.394,0.447,0.338,0.414
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.527,0.576,1.009,0.338,0.394,0.447,0.338,0.414,0.527
